ID,Name,Glottocode,Macroarea,Latitude,Longitude,Family_Glottocode,Family_Name
608_Wapishana_wapi1253,Wapishana,wapi1253,South America,2.58744,-59.8021,araw1281,Arawakan
609_Warao_wara1303,Warao,wara1303,South America,7.50851,-59.3528,,
610_Wahgi_nucl1620,Wahgi,nucl1620,Pacific,-6.11629,144.665,nucl1709,Nuclear Trans New Guinea
611_Wichita_wich1260,Wichita,wich1260,North America,35.0665,-98.1831,cadd1255,Caddoan
612_WikMungkan_wikm1247,Wik-Mungkan,wikm1247,Australia,-13.98051,141.81611,pama1250,Pama-Nyungan
613_Wintu_wint1259,Wintu,wint1259,North America,39.7176,-122.445,wint1258,Wintuan
614_Wiyot_wiyo1248,Wiyot,wiyo1248,North America,39.2492,-122.952,algi1248,Algic
615_Wantoat_want1252,Wantoat,want1252,Pacific,-6.15216,146.513,nucl1709,Nuclear Trans New Guinea
616_Usan_usan1239,Usan,usan1239,Pacific,-4.84265,145.362,nucl1709,Nuclear Trans New Guinea
617_Kamang_kama1365,Kamang,kama1365,Pacific,-8.26897,124.792,timo1261,Timor-Alor-Pantar
618_Wolof_nucl1347,Wolof,nucl1347,Africa,15.2534,-15.383,atla1278,Atlantic-Congo
619_Waris_wari1266,Waris,wari1266,Pacific,-3.139,140.931,bord1247,Border
620_Warray_wara1290,Warray,wara1290,Australia,-13.0941,131.236,gunw1250,Gunwinyguan
621_Berta_bert1248,Berta,bert1248,Africa,10.6474,34.7042,,
622_Wu_Chinese_wuch1236,Wu Chinese,wuch1236,Eurasia,29.8621,119.682,sino1245,Sino-Tibetan
623_Ngiyambaa_wang1291,Ngiyambaa,wang1291,Australia,-30.6481,146.18,pama1250,Pama-Nyungan
624_Kawaiisu_kawa1283,Kawaiisu,kawa1283,North America,36.0538,-118.679,utoa1244,Uto-Aztecan
625_Komo_Sudan_komo1258,Komo (Sudan-Ethiopia),komo1258,Africa,8.94162,34.0939,koma1264,Koman
626_Liberia_Kpelle_libe1247,Liberia Kpelle,libe1247,Africa,6.92048,-9.96128,mand1469,Mande
627_KatchaKadugliMiri_katc1249,Katcha-Kadugli-Miri,katc1249,Africa,10.8423,29.4914,kadu1256,Kadugli-Krongo
628_Yagua_yagu1244,Yagua,yagu1244,South America,-3.42913,-72.2186,peba1241,Peba-Yagua
629_Yaqui_yaqu1251,Yaqui,yaqu1251,North America,29.9446,-110.681,utoa1244,Uto-Aztecan
630_Yucuna_yucu1253,Yucuna,yucu1253,South America,-0.76075,-71.0033,araw1281,Arawakan
631_Tarok_taro1263,Tarok,taro1263,Africa,8.98356,10.0288,atla1278,Atlantic-Congo
632_Yagaria_yaga1260,Yagaria,yaga1260,Pacific,-6.32432,145.388,nucl1709,Nuclear Trans New Guinea
633_Yidin_yidi1250,Yidiñ,yidi1250,Australia,-17.1332,145.876,pama1250,Pama-Nyungan
634_Northern_Yukaghir_nort2745,Northern Yukaghir,nort2745,Eurasia,70.498,157.853,yuka1259,Yukaghir
635_Yana_yana1271,Yana,yana1271,North America,39.2769,-121.608,,
636_Yoruba_yoru1245,Yoruba,yoru1245,Africa,7.15345,3.67225,atla1278,Atlantic-Congo
637_Yareba_yare1248,Yareba,yare1248,Pacific,-9.50651,148.605,yare1250,Yareban
638_Tundra_Nenets_nene1249,Tundra Nenets,nene1249,Eurasia,66.1775,71.0234,ural1272,Uralic
639_YessanMayo_yess1239,Yessan-Mayo,yess1239,Pacific,-4.15721,142.574,sepi1257,Sepik
640_Yucatec_Maya_yuca1254,Yucatec Maya,yuca1254,North America,18.7757,-88.9567,maya1287,Mayan
641_Yuchi_yuch1247,Yuchi,yuch1247,North America,35.75,-86.75,,
642_Yue_Chinese_yuec1235,Yue Chinese,yuec1235,Eurasia,23.0,113.0,sino1245,Sino-Tibetan
643_Yulu_yulu1243,Yulu,yulu1243,Africa,8.04124,23.6166,cent2225,Central Sudanic
644_Yawa_nucl1454,Yawa,nucl1454,Pacific,-1.77196,136.263,yawa1259,Yawa-Saweru
645_Zande_zand1248,Zande,zand1248,Africa,4.62047,26.7157,atla1278,Atlantic-Congo
646_Copainala_Zoque_copa1236,Copainalá Zoque,copa1236,North America,17.2157,-93.3183,mixe1284,Mixe-Zoque
647_Zulu_zulu1248,Zulu,zulu1248,Africa,-28.9,30.2,atla1278,Atlantic-Congo
648_Zuni_zuni1245,Zuni,zuni1245,North America,35.0056,-108.782,,
649_Abidji_abid1235,Abidji,abid1235,Africa,5.65656,-4.58421,atla1278,Atlantic-Congo
650_Adioukrou_adio1239,Adioukrou,adio1239,Africa,5.38228,-4.52522,atla1278,Atlantic-Congo
651_Aja_Benin_ajab1235,Aja (Benin),ajab1235,Africa,7.06634,1.64992,atla1278,Atlantic-Congo
652_Aja_Benin_ajab1235,Aja (Benin),ajab1235,Africa,7.06634,1.64992,atla1278,Atlantic-Congo
653_Anyin_Morofo_anyi1244,Anyin Morofo,anyi1244,Africa,6.1627,-4.64232,atla1278,Atlantic-Congo
654_Igo_igoo1238,Igo,igoo1238,Africa,7.25499,0.67846,atla1278,Atlantic-Congo
655_Akan_akan1250,Akan,akan1250,Africa,6.34756,-1.33254,atla1278,Atlantic-Congo
656_Akoose_akoo1248,Akoose,akoo1248,Africa,4.9243,9.65522,atla1278,Atlantic-Congo
657_Ngas_ngas1240,Ngas,ngas1240,Africa,9.32042,9.46146,afro1255,Afro-Asiatic
658_Anufo_anuf1239,Anufo,anuf1239,Africa,10.2839,0.56021,atla1278,Atlantic-Congo
659_Sudanese_Arabic_suda1236,Sudanese Arabic,suda1236,Africa,17.8021,33.3179,afro1255,Afro-Asiatic
660_Avokaya_avok1242,Avokaya,avok1242,Africa,4.38639,29.9379,cent2225,Central Sudanic
661_Vengo_veng1238,Vengo,veng1238,Africa,6.11403,10.4137,atla1278,Atlantic-Congo
662_Bafut_bafu1246,Bafut,bafu1246,Africa,6.14153,10.1194,atla1278,Atlantic-Congo
663_Baka_Cameroon_baka1272,Baka (Cameroon),baka1272,Africa,2.16013,13.7804,atla1278,Atlantic-Congo
664_Bambara_bamb1269,Bambara,bamb1269,Africa,12.9,-7.65,mand1469,Mande
665_BandaNdele_band1345,Banda-Ndélé,band1345,Africa,8.03339,23.9021,atla1278,Atlantic-Congo
666_BandaNdele_band1345,Banda-Ndélé,band1345,Africa,8.03339,23.9021,atla1278,Atlantic-Congo
667_Bandi_band1352,Bandi,band1352,Africa,7.73729,-10.1684,mand1469,Mande
