ID,Name,Description,BIPA
BIPA_sw_u0283u02B7,ʃʷ,labialized voiceless post-alveolar sibilant fricative consonant,ʃʷ
UNK_je_u006Au0065,je,,
BIPA_t_u0074u032Au0348,t̪͈,strong voiceless dental stop consonant,t̪͈
BIPA_d_u0257u0325,ɗ̥,devoiced voiced dental implosive consonant,ɗ̥
BIPA_u_u0264u0303,ɤ̃,nasalized unrounded close-mid back vowel,ɤ̃
BIPA_ncj_u0272u0063u02B2,ɲcʲ,pre-nasalized palatalized voiceless palatal stop consonant,ⁿcʲ
UNK_jai_u006Au0061u0069,jai,,
BIPA_eu_u025Bu0075u031C,ɛu̜,from unrounded open-mid front to less-rounded rounded close back diphthong,ɛu̜
BIPA_tc_u0074u033Au0255u033A,t̺ɕ̺,voiceless apical alveolo-palatal sibilant affricate consonant,tɕ̺
BIPA_t_u0074u032Au033B,t̪̻,voiceless laminal dental stop consonant,t̪̻
BIPA_ndl_u006Eu0064u006C,ndl,pre-nasalized voiced alveolar lateral affricate consonant,ⁿdɮ
BIPA_ur_u0075u02DEu02E4,u˞ˤ,rhotacized pharyngealized rounded close back vowel,u˞ˤ
BIPA_ng_u014Bu01C3,ŋǃ,voiced alveolar nasal-click consonant,ŋǃ
BIPA_phj_u0070u02B0u02B2,pʰʲ,palatalized aspirated voiceless bilabial stop consonant,pʰʲ
BIPA_o_u006Fu028Cu032F,oʌ̯,from rounded close-mid back to non-syllabic unrounded open-mid back diphthong,oʌ̯
BIPA_wi_u026Fu0069u032F,ɯi̯,from unrounded close back to non-syllabic unrounded close front diphthong,ɯi̯
BIPA_ngmgb_u014Bu006Du0261u0062,ŋmɡb,from pre-nasalized voiced velar stop to voiced bilabial stop cluster,ⁿgb
BIPA_dn_u0064u0320u207F,d̠ⁿ,with-nasal-release voiced post-alveolar stop consonant,d̠ⁿ
BIPA_oi_u006Fu0069,oi,from rounded close-mid back to unrounded close front diphthong,oi
BIPA_wr_u02B7u0072,ʷr,pre-labialized voiced alveolar trill consonant,ʷr
UNK_dzx_u0064u0320u0292u0078u02BC,d̠ʒxʼ,,
BIPA_u_u1E75,ṵ,creaky rounded close back vowel,ṵ
BIPA__u02E8u02E8u02E6,˨˨˦,rising from-mid-low via-mid-low to-mid-high tone,²²⁴
BIPA_tw_u0074u02BCu02B7,tʼʷ,labialized voiceless alveolar ejective stop consonant,t’ʷ
BIPA_tsw_u0074u0283u02BCu02B7,tʃʼʷ,labialized voiceless post-alveolar ejective sibilant affricate consonant,tʃ’ʷ
BIPA_au_u0061u0075u02D0,auː,from unrounded open front to long rounded close back diphthong,auː
BIPA_hr_u02B0u027E,ʰɾ,pre-aspirated voiced alveolar tap consonant,ʰɾ
BIPA_rj_u027Eu0325u02B2,ɾ̥ʲ,palatalized devoiced voiced alveolar tap consonant,ɾ̥ʲ
BIPA_t_u0074u033B,t̻,voiceless laminal alveolar stop consonant,t̻
BIPA_z_u0292u02C0,ʒˀ,glottalized voiced post-alveolar sibilant fricative consonant,ʒˀ
BIPA_ngw_u014Bu0325u02B7,ŋ̥ʷ,labialized devoiced voiced velar nasal consonant,ŋ̥ʷ
BIPA_e_u0115,ĕ,ultra-short unrounded close-mid front vowel,ĕ
BIPA__u02E7u02E9,˧˩,falling from-mid to-low tone,³¹
BIPA_wu_u026Fu032Fu0264u031E,ɯ̯ɤ̞,from non-syllabic unrounded close back to unrounded mid back diphthong,ɯ̯ɤ̞
BIPA_lh_u006Cu02B1,lʱ,breathy voiced alveolar lateral approximant consonant,lʱ
BIPA_oey_u0153u028F,œʏ,from rounded open-mid front to rounded near-close near-front diphthong,œʏ
BIPA_hw_u0068u02B7,hʷ,labialized voiceless glottal fricative consonant,hʷ
BIPA_m_u006Du02D1,mˑ,mid-long voiced bilabial nasal consonant,mˑ
UNK_uei_u0075u032Fu0065u0069u032F,u̯ei̯,,
UNK_ntl_u006Eu0074u006Cu02BC,ntlʼ,,
BIPA_i_u026Au031D,ɪ̝,raised unrounded near-close near-front vowel,ɪ̝
BIPA_u_u028Au031F,ʊ̟,advanced rounded near-close near-back vowel,ʊ̟
BIPA_w_u026Fu02D0,ɯː,long unrounded close back vowel,ɯː
BIPA_ng_u014Bu0298,ŋʘ,voiced labial nasal-click consonant,ŋʘ
BIPA_bw_u0062u02B7,bʷ,labialized voiced bilabial stop consonant,bʷ
BIPA_dz_u0064u0292u02D0,dʒː,long voiced post-alveolar sibilant affricate consonant,dʒː
BIPA_w_u026Fu0353,ɯ͓,unrounded close with-friction back vowel,ɿ
BIPA_ngkh_u014Bu0324u006Bu02B0,ŋ̤kʰ,pre-nasalized breathy voiceless velar stop consonant,ⁿkʱ
BIPA_o_u00F8u028Cu032F,øʌ̯,from rounded close-mid front to non-syllabic unrounded open-mid back diphthong,øʌ̯
BIPA_qkhw_u0071u03C7u02B7u02E4,qχʷˤ,labialized pharyngealized voiceless uvular affricate consonant,qχʷˤ
BIPA_ai_u0061u026Au0303,aɪ̃,from unrounded open front to nasalized unrounded near-close near-front diphthong,aɪ̃
BIPA_jj_u025Fu0324u029D,ɟ̤ʝ,breathy voiced palatal affricate consonant,ɟʝʱ
BIPA_g_u0263,ɣ,voiced velar fricative consonant,ɣ
BIPA_rj_u0072u033Au02B2,r̺ʲ,palatalized voiced apical alveolar trill consonant,r̺ʲ
BIPA_qhj_u0071u02B0u02B2,qʰʲ,palatalized aspirated voiceless uvular stop consonant,qʲʰ
BIPA_mp_u006Du0325u0070,m̥p,pre-nasalized voiceless bilabial stop consonant,ⁿp
BIPA_xw_u0078u02D0u02B7,xːʷ,labialized long voiceless velar fricative consonant,xʷː
BIPA_htch_u02B0u0074u0255u02B0,ʰtɕʰ,pre-aspirated aspirated voiceless alveolo-palatal sibilant affricate consonant,ʰtɕʰ
BIPA_a_u0252u031D,ɒ̝,raised rounded open back vowel,ɒ̝
BIPA_ig_u0069u02E0,iˠ,velarized unrounded close front vowel,iˠ
BIPA_qw_u0071u02B7,qʷ,labialized voiceless uvular stop consonant,qʷ
BIPA_n_u0272u02BC,ɲʼ,voiced palatal ejective nasal consonant,ɲ’
BIPA_d_u0064u0325,d̥,devoiced voiced alveolar stop consonant,d̥
BIPA__u02A2,ʢ,voiced epiglottal fricative consonant,ʢ
BIPA_ii_u0268u0069u032F,ɨi̯,from unrounded close central to non-syllabic unrounded close front diphthong,ɨi̯
BIPA_dr_u0064u027E,dɾ,with-trilled-release voiced alveolar stop consonant,dʳ
BIPA_eu_u0065u028A,eʊ,from unrounded close-mid front to rounded near-close near-back diphthong,eʊ
BIPA_d_u0064u0324,d̤,breathy voiced alveolar stop consonant,dʱ
BIPA_iu_u0069u02D0u016D,iːŭ,from long unrounded close front to ultra-short rounded close back diphthong,iːŭ
BIPA_zw_u0292u02B7,ʒʷ,labialized voiced post-alveolar sibilant fricative consonant,ʒʷ
BIPA_ia_u0069u0250,iɐ,from unrounded close front to unrounded near-open central diphthong,iɐ
BIPA_dzj_u0064u0320u0292u02B2,d̠ʒʲ,palatalized voiced post-alveolar sibilant affricate consonant,dʒʲ
BIPA_i_u0259u0268,əɨ,from unrounded mid central to unrounded close central diphthong,əɨ
UNK_kr_u006Bu02DE,k˞,,
UNK_mm_u006Du0325u006D,m̥m,,
BIPA_e_u025Eu031Cu0303u02D0,ɞ̜̃ː,long less-rounded nasalized rounded open-mid central vowel,ɞ̜̃ː
BIPA_o_u006Fu0324u02D0,o̤ː,long breathy rounded close-mid back vowel,o̤ː
BIPA__u028Cu02E4u02D0,ʌˤː,long pharyngealized unrounded open-mid back vowel,ʌˤː
BIPA_kw_u006Bu01C0u02B7,kǀʷ,labialized voiceless dental click consonant,ǀʷ
BIPA_o_u006Fu031Fu02D1,o̟ˑ,mid-long advanced rounded close-mid back vowel,oˑ̟
BIPA_r_u0279,ɹ,voiced alveolar approximant consonant,ɹ
BIPA_ng_u0273u0261,ɳɡ,pre-nasalized voiced velar stop consonant,ⁿg
BIPA_e_u025Eu0330,ɞ̰,creaky rounded open-mid central vowel,ɞ̰
BIPA_nc_u0272u0063u02BC,ɲcʼ,from voiced palatal nasal to voiceless palatal ejective stop cluster,ɲcʼ
BIPA_tj_u0074u02B2u02D1,tʲˑ,palatalized mid-long voiceless alveolar stop consonant,tʲˑ
UNK_we_u0077u025Bu0303,wɛ̃,,
BIPA_ei_u0065u02D0u0069u032F,eːi̯,from long unrounded close-mid front to non-syllabic unrounded close front diphthong,eːi̯
BIPA_a_u00E5,å,devoiced unrounded open front vowel,ḁ
BIPA_ng_u014Bu0325u01C2u02C0,ŋ̥ǂˀ,glottalized voiced palatal nasal-click consonant,ŋǂˀ
BIPA_kj_u006Bu02B2,kʲ,palatalized voiceless velar stop consonant,kʲ
BIPA_e_u025Bu0330u02D0,ɛ̰ː,long creaky unrounded open-mid front vowel,ɛ̰ː
BIPA_e_u1E1B,ḛ,creaky unrounded close-mid front vowel,ḛ
BIPA_yoe_u0079u0153u02D0,yœː,from rounded close front to long rounded open-mid front diphthong,yœː
